season,round,match_slug,home_nickname,away_nickname,match_id,referee
2021,8,bulldogs-v-eels,Bulldogs,Eels,,Peter Gough
2021,8,knights-v-roosters,Knights,Roosters,,Matt Cecchin
2021,8,warriors-v-cowboys,Warriors,Cowboys,,Chris Butler
2021,8,dragons-v-wests-tigers,Dragons,Wests Tigers,,Chris Sutton
2021,9,rabbitohs-v-storm,Rabbitohs,Storm,,Grant Atkins
2021,9,eels-v-roosters,Eels,Roosters,,Matt Cecchin
2021,9,raiders-v-knights,Raiders,Knights,,Adam Gee
2021,9,wests-tigers-v-titans,Wests Tigers,Titans,,Ashley Klein
2021,9,cowboys-v-broncos,Cowboys,Broncos,,Chris Sutton
2021,9,sea-eagles-v-warriors,Sea Eagles,Warriors,,Peter Gough
2021,10,sea-eagles-v-broncos,Sea Eagles,Broncos,,Gerard Sutton
2021,10,bulldogs-v-raiders,Bulldogs,Raiders,,Chris Butler
2021,10,sharks-v-rabbitohs,Sharks,Rabbitohs,,Chris Sutton
2021,10,roosters-v-cowboys,Roosters,Cowboys,,Ben Cummins
2021,10,warriors-v-eels,Warriors,Eels,,Ashley Klein
2021,10,storm-v-dragons,Storm,Dragons,,Peter Gough
2021,10,titans-v-panthers,Titans,Panthers,,Adam Gee
2021,11,cowboys-v-knights,Cowboys,Knights,,Ashley Klein
2021,11,warriors-v-wests-tigers,Warriors,Wests Tigers,,Matt Noyen
2021,11,sharks-v-dragons,Sharks,Dragons,,Ben Cummins
2021,11,titans-v-bulldogs,Titans,Bulldogs,,Matt Cecchin
2021,11,raiders-v-storm,Raiders,Storm,,Gerard Sutton
2021,11,rabbitohs-v-panthers,Rabbitohs,Panthers,,Grant Atkins
2021,11,eels-v-sea-eagles,Eels,Sea Eagles,,Adam Gee
2021,12,broncos-v-storm,Broncos,Storm,,Ashley Klein
2021,12,cowboys-v-warriors,Cowboys,Warriors,,Matt Cecchin
2021,12,wests-tigers-v-dragons,Wests Tigers,Dragons,,Adam Gee
2021,12,panthers-v-bulldogs,Panthers,Bulldogs,,Matt Noyen
2021,12,rabbitohs-v-eels,Rabbitohs,Eels,,Gerard Sutton
2021,12,roosters-v-raiders,Roosters,Raiders,,Grant Atkins
2021,12,sharks-v-titans,Sharks,Titans,,Chris Sutton
2021,12,knights-v-sea-eagles,Knights,Sea Eagles,,Ben Cummins
2021,13,dragons-v-broncos,Dragons,Broncos,,Matt Cecchin
2021,13,wests-tigers-v-panthers,Wests Tigers,Panthers,,Grant Atkins
2021,13,storm-v-titans,Storm,Titans,,Chris Butler
2021,13,knights-v-eels,Knights,Eels,,Adam Gee
2021,14,sharks-v-panthers,Sharks,Panthers,,Ashley Klein
2021,14,titans-v-roosters,Titans,Roosters,,Ben Cummins
2021,14,rabbitohs-v-knights,Rabbitohs,Knights,,Chris Butler
2021,14,raiders-v-broncos,Raiders,Broncos,,Chris Sutton
2021,14,warriors-v-storm,Warriors,Storm,,Matt Cecchin
2021,14,eels-v-wests-tigers,Eels,Wests Tigers,,Grant Atkins
2021,14,bulldogs-v-dragons,Bulldogs,Dragons,,Gerard Sutton
2021,15,broncos-v-rabbitohs,Broncos,Rabbitohs,,Adam Gee
2021,15,cowboys-v-sharks,Cowboys,Sharks,,Peter Gough
2021,15,panthers-v-roosters,Panthers,Roosters,,Ashley Klein
2021,15,knights-v-warriors,Knights,Warriors,,Chris Butler
2021,15,dragons-v-raiders,Dragons,Raiders,,Chris Sutton
2021,15,storm-v-wests-tigers,Storm,Wests Tigers,,Gerard Sutton
2021,15,titans-v-sea-eagles,Titans,Sea Eagles,,Grant Atkins
2021,16,roosters-v-storm,Roosters,Storm,,Adam Gee
2021,16,warriors-v-dragons,Warriors,Dragons,,Peter Gough
2021,16,panthers-v-eels,Panthers,Eels,,Ashley Klein
2021,16,bulldogs-v-sea-eagles,Bulldogs,Sea Eagles,,Gerard Sutton
2021,16,raiders-v-titans,Raiders,Titans,,Matt Cecchin
2021,16,knights-v-cowboys,Knights,Cowboys,,Chris Sutton
2021,16,broncos-v-sharks,Broncos,Sharks,,Ben Cummins
2021,16,wests-tigers-v-rabbitohs,Wests Tigers,Rabbitohs,,Grant Atkins
2021,17,sea-eagles-v-raiders,Sea Eagles,Raiders,,Adam Gee
2021,17,rabbitohs-v-cowboys,Rabbitohs,Cowboys,,Matt Cecchin
2021,17,bulldogs-v-roosters,Bulldogs,Roosters,,Adam Gee
2021,17,sharks-v-warriors,Sharks,Warriors,,Chris Sutton
2021,18,titans-v-eels,Titans,Eels,,Matt Cecchin
2021,18,sea-eagles-v-dragons,Sea Eagles,Dragons,,Adam Gee
2021,18,cowboys-v-roosters,Cowboys,Roosters,,Ashley Klein
2021,18,raiders-v-sharks,Raiders,Sharks,,Grant Atkins
2021,18,storm-v-knights,Storm,Knights,,Chris Sutton
2021,18,warriors-v-panthers,Warriors,Panthers,,Chris Butler
2021,18,broncos-v-wests-tigers,Broncos,Wests Tigers,,Gerard Sutton
2021,18,rabbitohs-v-bulldogs,Rabbitohs,Bulldogs,,Ben Cummins
2021,19,eels-v-raiders,Eels,Raiders,,Adam Gee
